Country,Country Name,Indicator Id,Indicator,Subindicator Type,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,Afghanistan,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AFG,Afghanistan,40985,Civil Liberties,1 to 7 scale,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
AFG,Afghanistan,40986,Political Rights,1 to 7 scale,4,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5
AFG,Afghanistan,40987,Freedom Status,1 to 3 scale,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
AGO,Angola,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AGO,Angola,40985,Civil Liberties,1 to 7 scale,,,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5
AGO,Angola,40986,Political Rights,1 to 7 scale,,,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
AGO,Angola,40987,Freedom Status,1 to 3 scale,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALB,Albania,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
ALB,Albania,40985,Civil Liberties,1 to 7 scale,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,3,4,4,4,4,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ALB,Albania,40986,Political Rights,1 to 7 scale,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ALB,Albania,40987,Freedom Status,1 to 3 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AND,Andorra,40985,Civil Liberties,1 to 7 scale,3,4,4,4,4,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AND,Andorra,40986,Political Rights,1 to 7 scale,4,4,4,4,4,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AND,Andorra,40987,Freedom Status,1 to 3 scale,2,2,2,2,2,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARE,United Arab Emirates,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ARE,United Arab Emirates,40985,Civil Liberties,1 to 7 scale,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
ARE,United Arab Emirates,40986,Political Rights,1 to 7 scale,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
ARE,United Arab Emirates,40987,Freedom Status,1 to 3 scale,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARG,Argentina,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
ARG,Argentina,40985,Civil Liberties,1 to 7 scale,3,2,4,4,5,6,5,5,5,5,3,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ARG,Argentina,40986,Political Rights,1 to 7 scale,6,2,2,2,6,6,6,6,6,6,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ARG,Argentina,40987,Freedom Status,1 to 3 scale,2,3,2,2,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARM,Armenia,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ARM,Armenia,40985,Civil Liberties,1 to 7 scale,,,,,,,,,,,,,,,,,,,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ARM,Armenia,40986,Political Rights,1 to 7 scale,,,,,,,,,,,,,,,,,,,5,4,3,3,4,5,5,4,4,4,4,4,4,5,5,5,5,6,6,6,6,5,5,5,5,5,5,4,4,4
ARM,Armenia,40987,Freedom Status,1 to 3 scale,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ATG,Antigua and Barbuda,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
ATG,Antigua and Barbuda,40985,Civil Liberties,1 to 7 scale,,,,,,,,,,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ATG,Antigua and Barbuda,40986,Political Rights,1 to 7 scale,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
ATG,Antigua and Barbuda,40987,Freedom Status,1 to 3 scale,,,,,,,,,,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AUS,Australia,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
AUS,Australia,40985,Civil Liberties,1 to 7 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS,Australia,40986,Political Rights,1 to 7 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS,Australia,40987,Freedom Status,1 to 3 scale,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AUT,Austria,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
AUT,Austria,40985,Civil Liberties,1 to 7 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,Austria,40986,Political Rights,1 to 7 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,Austria,40987,Freedom Status,1 to 3 scale,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AZE,Azerbaijan,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AZE,Azerbaijan,40985,Civil Liberties,1 to 7 scale,,,,,,,,,,,,,,,,,,,5,5,6,6,6,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
AZE,Azerbaijan,40986,Political Rights,1 to 7 scale,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
AZE,Azerbaijan,40987,Freedom Status,1 to 3 scale,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BDI,Burundi,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,
BDI,Burundi,40985,Civil Liberties,1 to 7 scale,7,7,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
BDI,Burundi,40986,Political Rights,1 to 7 scale,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,6,6,6,6,5,5,3,4,4,4,4,5,5,5,5,6,7,7,7,7,7,7
BDI,Burundi,40987,Freedom Status,1 to 3 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
BEL,Belgium,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
BEL,Belgium,40985,Civil Liberties,1 to 7 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,Belgium,40986,Political Rights,1 to 7 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,Belgium,40987,Freedom Status,1 to 3 scale,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BEN,Benin,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
BEN,Benin,40985,Civil Liberties,1 to 7 scale,5,5,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BEN,Benin,40986,Political Rights,1 to 7 scale,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
BEN,Benin,40987,Freedom Status,1 to 3 scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
BFA,Burkina Faso,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
BFA,Burkina Faso,40985,Civil Liberties,1 to 7 scale,4,4,4,4,5,4,3,3,5,5,5,5,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
BFA,Burkina Faso,40986,Political Rights,1 to 7 scale,3,3,6,6,5,5,2,2,6,6,6,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,4
BFA,Burkina Faso,40987,Freedom Status,1 to 3 scale,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BGD,Bangladesh,28902,Electoral Democracies,1 Yes 0 No,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,,,
BGD,Bangladesh,40985,Civil Liberties,1 to 7 scale,4,4,4,5,4,4,4,3,4,5,5,5,5,5,5,5,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
